0, 3475. 852. 902. 829. 898. 156. 858. 605. 905. 444. 823. 727. 907.;
1, 3505. 852. 902. 624. 743. 156. 858. 605. 905. 444. 823. 727. 907.;
2, 3530. 852. 903. 624. 743. 156. 858. 605. 905. 444. 823. 727. 907.;
3, 3565. 852. 903. 624. 744. 156. 858. 605. 905. 444. 823. 727. 907.;
4, 3590. 836. 902. 624. 744. 156. 858. 605. 905. 444. 823. 727. 907.;
5, 3625. 836. 902. 626. 754. 156. 858. 605. 905. 444. 823. 727. 907.;
6, 3650. 808. 904. 626. 754. 156. 858. 605. 905. 444. 823. 727. 907.;
7, 3685. 808. 904. 614. 760. 156. 858. 605. 905. 444. 823. 727. 907.;
8, 3710. 711. 901. 614. 760. 156. 858. 605. 905. 444. 823. 727. 907.;
9, 3745. 711. 901. 609. 765. 156. 858. 605. 905. 444. 823. 727. 907.;
10, 3770. 414. 905. 609. 765. 156. 858. 605. 905. 444. 823. 727. 907.;
11, 3805. 414. 905. 622. 785. 156. 858. 605. 905. 444. 823. 727. 907.;
12, 3830. 506. 896. 622. 785. 156. 858. 605. 905. 444. 823. 727. 907.;
13, 3865. 506. 896. 729. 804. 156. 858. 605. 905. 444. 823. 727. 907.;
14, 3890. 239. 899. 729. 804. 156. 858. 605. 905. 444. 823. 727. 907.;
15, 3925. 239. 899. 794. 857. 156. 858. 605. 905. 444. 823. 727. 907.;
16, 3950. 148. 884. 794. 857. 156. 858. 605. 905. 444. 823. 727. 907.;
17, 3990. 148. 884. 815. 876. 156. 858. 605. 905. 444. 823. 727. 907.;
18, 4010. 98. 628. 815. 876. 156. 858. 605. 905. 444. 823. 727. 907.;
19, 4070. 514. 637. 815. 876. 156. 858. 605. 905. 444. 823. 727. 907.;
20, 4075. 514. 637. 827. 887. 156. 858. 605. 905. 444. 823. 727. 907.;
21, 4130. 549. 640. 827. 887. 156. 858. 605. 905. 444. 823. 727. 907.;
22, 4140. 549. 640. 826. 894. 156. 858. 605. 905. 444. 823. 727. 907.;
23, 4185. 546. 650. 826. 894. 156. 858. 605. 905. 444. 823. 727. 907.;
24, 4200. 546. 650. 806. 899. 156. 858. 605. 905. 444. 823. 727. 907.;
25, 4250. 528. 629. 806. 899. 156. 858. 605. 905. 444. 823. 727. 907.;
26, 4255. 528. 629. 766. 902. 156. 858. 605. 905. 444. 823. 727. 907.;
27, 4310. 532. 672. 766. 902. 156. 858. 605. 905. 444. 823. 727. 907.;
28, 4315. 532. 672. 697. 903. 156. 858. 605. 905. 444. 823. 727. 907.;
29, 4370. 516. 724. 697. 903. 156. 858. 605. 905. 444. 823. 727. 907.;
30, 4405. 516. 724. 633. 906. 156. 858. 605. 905. 444. 823. 727. 907.;
31, 4430. 525. 727. 633. 906. 156. 858. 605. 905. 444. 823. 727. 907.;
32, 4465. 525. 727. 583. 905. 156. 858. 605. 905. 444. 823. 727. 907.;
33, 4490. 814. 852. 583. 905. 156. 858. 605. 905. 444. 823. 727. 907.;
34, 4525. 814. 852. 371. 903. 156. 858. 605. 905. 444. 823. 727. 907.;
35, 4550. 846. 884. 371. 903. 156. 858. 605. 905. 444. 823. 727. 907.;
36, 4585. 846. 884. 464. 875. 156. 858. 605. 905. 444. 823. 727. 907.;
37, 4610. 860. 897. 464. 875. 156. 858. 605. 905. 444. 823. 727. 907.;
38, 4645. 860. 897. 570. 688. 156. 858. 605. 905. 444. 823. 727. 907.;
39, 4670. 863. 899. 570. 688. 156. 858. 605. 905. 444. 823. 727. 907.;
40, 4705. 863. 899. 609. 732. 156. 858. 605. 905. 444. 823. 727. 907.;
41, 4730. 861. 900. 609. 732. 156. 858. 605. 905. 444. 823. 727. 907.;
42, 4765. 861. 900. 613. 733. 156. 858. 605. 905. 444. 823. 727. 907.;
43, 4790. 861. 902. 613. 733. 156. 858. 605. 905. 444. 823. 727. 907.;
44, 4825. 861. 902. 613. 729. 156. 858. 605. 905. 444. 823. 727. 907.;
45, 4850. 863. 901. 613. 729. 156. 858. 605. 905. 444. 823. 727. 907.;
46, 4885. 863. 901. 610. 737. 156. 858. 605. 905. 444. 823. 727. 907.;
47, 4940. 855. 903. 610. 737. 156. 858. 605. 905. 444. 823. 727. 907.;
48, 4975. 855. 903. 607. 749. 156. 858. 605. 905. 444. 823. 727. 907.;
49, 5000. 835. 902. 607. 749. 156. 858. 605. 905. 444. 823. 727. 907.;
50, 5040. 835. 902. 608. 765. 156. 858. 605. 905. 444. 823. 727. 907.;
51, 5060. 302. 907. 608. 765. 156. 858. 605. 905. 444. 823. 727. 907.;
52, 5095. 302. 907. 693. 795. 156. 858. 605. 905. 444. 823. 727. 907.;
53, 5120. 331. 899. 693. 795. 156. 858. 605. 905. 444. 823. 727. 907.;
54, 5155. 331. 899. 769. 837. 156. 858. 605. 905. 444. 823. 727. 907.;
55, 5180. 161. 894. 769. 837. 156. 858. 605. 905. 444. 823. 727. 907.;
56, 5220. 161. 894. 799. 861. 156. 858. 605. 905. 444. 823. 727. 907.;
57, 5240. 162. 865. 799. 861. 156. 858. 605. 905. 444. 823. 727. 907.;
58, 5275. 162. 865. 819. 878. 156. 858. 605. 905. 444. 823. 727. 907.;
59, 5300. 531. 599. 819. 878. 156. 858. 605. 905. 444. 823. 727. 907.;
60, 5335. 531. 599. 824. 885. 156. 858. 605. 905. 444. 823. 727. 907.;
61, 5360. 524. 641. 824. 885. 156. 858. 605. 905. 444. 823. 727. 907.;
62, 5395. 524. 641. 826. 894. 156. 858. 605. 905. 444. 823. 727. 907.;
63, 5420. 543. 631. 826. 894. 156. 858. 605. 905. 444. 823. 727. 907.;
64, 5455. 543. 631. 823. 896. 156. 858. 605. 905. 444. 823. 727. 907.;
65, 5480. 534. 624. 823. 896. 156. 858. 605. 905. 444. 823. 727. 907.;
66, 5520. 534. 624. 799. 900. 156. 858. 605. 905. 444. 823. 727. 907.;
67, 5540. 520. 619. 799. 900. 156. 858. 605. 905. 444. 823. 727. 907.;
68, 5575. 520. 619. 724. 903. 156. 858. 605. 905. 444. 823. 727. 907.;
69, 5600. 469. 683. 724. 903. 156. 858. 605. 905. 444. 823. 727. 907.;
