0, 2561.997208 0 0 510 32 768. 817. 533. 720. 744. 881. 622. 808.;
1, 2616.997208 0 0 596 87 768. 817. 533. 720. 744. 881. 622. 808.;
2, 2681.997208 0 0 464 338 768. 817. 533. 720. 744. 881. 622. 808.;
3, 2741.997208 0 0 486 412 768. 817. 533. 720. 744. 881. 622. 808.;
4, 2801.997208 0 0 512 447 768. 817. 533. 720. 744. 881. 622. 808.;
5, 2861.997208 0 0 563 490 768. 817. 533. 720. 744. 881. 622. 808.;
6, 2951.997208 0 0 596 516 768. 817. 533. 720. 744. 881. 622. 808.;
7, 2996.997208 732 33 596 516 768. 817. 533. 720. 744. 881. 622. 808.;
8, 3041.997208 732 33 585 481 768. 817. 533. 720. 744. 881. 622. 808.;
9, 3056.997208 794 89 585 481 768. 817. 533. 720. 744. 881. 622. 808.;
10, 3101.997208 794 89 612 475 768. 817. 533. 720. 744. 881. 622. 808.;
11, 3146.997208 792 4 612 475 768. 817. 533. 720. 744. 881. 622. 808.;
12, 3161.997208 792 4 800 739 768. 817. 533. 720. 744. 881. 622. 808.;
13, 3206.997208 628 6 800 739 768. 817. 533. 720. 744. 881. 622. 808.;
14, 3221.997208 628 6 855 791 768. 817. 533. 720. 744. 881. 622. 808.;
15, 3281.997208 628 6 874 809 768. 817. 533. 720. 744. 881. 622. 808.;
16, 3296.997208 512 4 874 809 768. 817. 533. 720. 744. 881. 622. 808.;
17, 3336.997208 512 4 878 810 768. 817. 533. 720. 744. 881. 622. 808.;
18, 3356.997208 353 228 878 810 768. 817. 533. 720. 744. 881. 622. 808.;
19, 3401.997208 353 228 875 792 768. 817. 533. 720. 744. 881. 622. 808.;
20, 3416.997208 451 235 875 792 768. 817. 533. 720. 744. 881. 622. 808.;
21, 3456.997208 451 235 872 758 768. 817. 533. 720. 744. 881. 622. 808.;
22, 3476.997208 426 261 872 758 768. 817. 533. 720. 744. 881. 622. 808.;
23, 3521.997208 426 261 866 703 768. 817. 533. 720. 744. 881. 622. 808.;
24, 3531.997208 413 256 866 703 768. 817. 533. 720. 744. 881. 622. 808.;
25, 3576.997208 413 256 804 590 768. 817. 533. 720. 744. 881. 622. 808.;
26, 3591.997208 401 274 804 590 768. 817. 533. 720. 744. 881. 622. 808.;
27, 3636.997208 401 274 846 366 768. 817. 533. 720. 744. 881. 622. 808.;
