side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase
R,,284049,-1.163,1.272,-0.174,-45.7,9.3,-111.0,790,867,0
R,,284074,-0.004,0.788,-0.315,-34.2,21.9,-114.0,792,869,0
R,,284084,-0.203,0.908,-0.064,-34.4,23.5,-109.6,800,873,0
R,,284094,-0.446,0.886,-0.195,-22.4,25.2,-101.1,804,879,0
R,,284104,-0.251,0.909,-0.349,-12.0,14.3,-88.2,811,884,0
R,,284114,-0.098,0.941,-0.393,-15.6,1.1,-78.3,812,883,0
R,,284124,-0.036,0.963,-0.331,-22.4,-5.4,-70.2,816,886,0
R,,284134,-0.010,0.965,-0.301,-24.8,-3.0,-59.7,818,890,0
R,,284144,-0.070,0.951,-0.372,-19.3,-7.0,-53.6,821,889,0
R,,284154,-0.115,0.982,-0.406,-20.7,-8.6,-44.0,822,891,0
R,,284164,-0.102,0.961,-0.409,-21.4,-7.7,-31.7,827,893,0
R,,284174,-0.053,0.926,-0.433,-21.5,-7.9,-26.8,823,893,0
R,,284184,-0.074,0.927,-0.409,-21.1,-6.4,-23.1,824,893,0
R,,284194,-0.054,0.934,-0.374,-23.0,-5.6,-20.5,825,894,0
R,,284204,-0.049,0.949,-0.320,-21.7,-5.5,-18.7,828,895,0
R,,284214,-0.020,0.957,-0.300,-19.4,-4.4,-15.4,828,895,0
R,,284224,-0.018,0.952,-0.305,-14.5,-2.9,-12.3,828,895,0
R,,284234,-0.040,0.942,-0.344,-13.1,-3.8,-9.9,829,897,0
R,,284244,-0.044,0.958,-0.366,-14.6,-8.6,-6.0,827,895,0
R,,284254,-0.021,0.940,-0.350,-14.3,-3.5,-6.2,828,895,0
R,,284264,-0.050,0.937,-0.371,-15.1,-5.9,-5.6,830,897,0
R,,284274,-0.079,0.931,-0.334,-15.1,-6.9,-5.1,830,898,0
R,,284284,-0.045,0.920,-0.327,-14.2,-7.4,-4.4,828,899,0
R,,284294,-0.038,0.917,-0.338,-14.1,-8.1,-5.8,827,899,0
R,,284304,-0.023,0.932,-0.334,-16.3,-8.8,-6.6,829,898,0
R,,284314,-0.011,0.935,-0.332,-14.1,-9.9,-6.7,829,900,0
R,,284324,-0.033,0.936,-0.301,-13.9,-10.9,-6.4,829,900,0
R,,284334,-0.046,0.927,-0.328,-12.4,-11.9,-6.5,829,897,0
R,,284344,-0.011,0.938,-0.311,-15.6,-14.0,-6.1,829,900,0
R,,284354,0.001,0.943,-0.317,-15.4,-11.6,-7.2,830,899,0
R,,284364,-0.004,0.944,-0.309,-16.1,-8.9,-7.0,832,897,0
R,,284374,0.010,0.954,-0.338,-17.2,-7.7,-6.9,835,902,0
R,,284384,-0.044,0.964,-0.343,-18.2,-4.6,-7.1,831,899,0
R,,284394,-0.035,0.960,-0.366,-20.2,-5.6,-5.3,831,902,0
R,,284404,-0.048,0.966,-0.350,-23.1,-6.3,-2.7,830,901,0
R,,284414,-0.082,0.940,-0.366,-23.3,-4.6,-0.6,832,902,0
R,,284424,-0.094,0.949,-0.369,-27.6,-5.1,0.4,832,902,0
R,,284434,-0.067,0.958,-0.342,-27.5,-6.3,0.9,831,902,0
R,,284444,-0.030,0.972,-0.335,-29.2,-8.0,1.4,831,902,0
R,,284454,0.010,0.967,-0.335,-28.7,-8.5,0.5,830,902,0
R,,284464,0.034,0.973,-0.312,-28.7,-7.0,-0.9,825,899,0
R,,284474,0.071,0.968,-0.321,-37.1,-5.8,-2.7,827,901,0
R,,284484,0.040,0.963,-0.314,-35.7,-6.0,-4.8,825,900,0
R,,284494,0.036,1.003,-0.442,-49.2,-12.9,-5.4,820,900,0
R,,284504,0.128,0.993,-0.682,-21.3,-77.9,-0.9,814,890,0
R,,284514,0.008,0.875,-0.392,-26.8,-6.7,-13.3,807,891,0
R,,284524,-0.003,0.971,-0.404,-55.5,-7.8,-10.4,795,885,0
R,,284763,-1.016,1.883,-0.387,-192.4,-49.7,-125.6,104,554,0
R,,284773,-0.641,1.975,-0.591,-162.0,-83.9,-100.0,151,655,0
R,,284783,-0.467,1.291,-0.334,-146.1,-71.4,-89.3,159,702,0
R,,284793,0.019,0.835,-0.400,-128.0,-52.3,-85.4,240,759,0
R,,284803,0.315,0.320,-0.799,-87.7,-61.4,-80.4,261,701,0
R,,284813,0.129,-0.556,-0.240,-72.9,7.3,-22.9,223,669,0
R,,284823,-0.202,-0.528,0.601,-82.2,38.9,-5.8,246,702,0
R,,284833,-0.488,-0.093,0.625,-60.2,57.4,15.6,264,708,0
R,,284843,-0.157,0.058,-0.039,5.3,73.7,42.0,267,710,0
