device_ms,toe_L,heel_L,toe_R,heel_R
284049,,,790.0,867.0
284074,,,792.0,869.0
284084,,,800.0,873.0
284094,,,804.0,879.0
284104,,,811.0,884.0
284114,,,812.0,883.0
284124,,,816.0,886.0
284134,,,818.0,890.0
284144,,,821.0,889.0
284154,,,822.0,891.0
284164,,,827.0,893.0
284174,,,823.0,893.0
284184,,,824.0,893.0
284194,,,825.0,894.0
284204,,,828.0,895.0
284214,,,828.0,895.0
284224,,,828.0,895.0
284234,,,829.0,897.0
284244,,,827.0,895.0
284254,,,828.0,895.0
284264,,,830.0,897.0
284274,,,830.0,898.0
284284,,,828.0,899.0
284294,,,827.0,899.0
284304,,,829.0,898.0
284314,,,829.0,900.0
284324,,,829.0,900.0
284334,,,829.0,897.0
284344,,,829.0,900.0
284354,,,830.0,899.0
284364,,,832.0,897.0
284374,,,835.0,902.0
284384,,,831.0,899.0
284394,,,831.0,902.0
284404,,,830.0,901.0
284414,,,832.0,902.0
284424,,,832.0,902.0
284434,,,831.0,902.0
284444,,,831.0,902.0
284454,,,830.0,902.0
284464,,,825.0,899.0
284474,,,827.0,901.0
284484,,,825.0,900.0
284494,,,820.0,900.0
284504,,,814.0,890.0
284514,,,807.0,891.0
284524,,,795.0,885.0
284763,,,104.0,554.0
284773,,,151.0,655.0
284783,,,159.0,702.0
284793,,,240.0,759.0
284803,,,261.0,701.0
284813,,,223.0,669.0
284823,,,246.0,702.0
284833,,,264.0,708.0
284843,,,267.0,710.0
284853,,,232.0,702.0
284863,,,208.0,684.0
284873,,,223.0,684.0
284883,,,246.0,651.0
284893,,,239.0,644.0
284903,,,266.0,680.0
284913,,,258.0,661.0
284923,,,280.0,626.0
284933,,,285.0,641.0
284943,,,290.0,631.0
284953,,,265.0,607.0
284963,,,289.0,627.0
284973,,,277.0,597.0
284983,,,283.0,595.0
284993,,,314.0,640.0
285003,,,319.0,638.0
285013,,,302.0,638.0
285023,,,279.0,667.0
285033,,,269.0,663.0
285043,,,232.0,659.0
285053,,,254.0,664.0
285063,,,259.0,661.0
285073,,,240.0,654.0
285083,,,238.0,646.0
285093,,,249.0,663.0
285103,,,247.0,673.0
285113,,,253.0,673.0
285123,,,251.0,682.0
285133,,,229.0,666.0
285143,,,236.0,663.0
285153,,,256.0,673.0
285163,,,227.0,677.0
285173,,,223.0,700.0
285183,,,225.0,699.0
285193,,,253.0,711.0
285203,,,283.0,693.0
285213,,,301.0,723.0
285453,,,831.0,902.0
285463,,,828.0,898.0
285489,,,828.0,899.0
285548,,,828.0,898.0
285609,,,827.0,900.0
285668,,,827.0,903.0
285729,,,821.0,898.0
285789,,,808.0,896.0
285848,,,694.0,893.0
285909,,,646.0,880.0
285968,,,161.0,776.0
286029,,,123.0,623.0
286088,,,199.0,656.0
286149,,,193.0,545.0
286208,,,255.0,673.0
286269,,,264.0,669.0
286359,,,235.0,685.0
286418,,,239.0,689.0
286479,,,209.0,624.0
286539,,,555.0,676.0
286598,,,775.0,855.0
286659,,,800.0,875.0
286749,,,821.0,892.0
286809,,,828.0,896.0
286869,,,826.0,893.0
286928,,,818.0,889.0
286989,,,803.0,878.0
287048,,,735.0,671.0
287109,,,705.0,791.0
287168,,,608.0,898.0
287258,,,68.0,536.0
287348,,,156.0,526.0
287409,,,212.0,574.0
287468,,,259.0,603.0
287529,,,289.0,671.0
287588,,,264.0,680.0
287649,,,186.0,680.0
287708,,,192.0,733.0
287798,,,227.0,719.0
287859,,,716.0,807.0
287918,,,806.0,877.0
287979,,,815.0,886.0
288039,,,822.0,892.0
288099,,,825.0,891.0
288159,,,826.0,889.0
288249,,,823.0,890.0
288963,,,233.0,682.0
288973,,,203.0,657.0
289029,,,278.0,732.0
289131,,,785.0,860.0
289149,,,801.0,871.0
289208,,,824.0,889.0
289269,,,829.0,897.0
289329,,,832.0,898.0
289389,,,829.0,897.0
289449,,,830.0,897.0
289508,,,830.0,899.0
289569,,,828.0,898.0
289659,,,679.0,824.0
289718,,,488.0,881.0
289779,,,69.0,583.0
289838,,,163.0,648.0
289899,,,220.0,644.0
289958,,,268.0,604.0
290019,,,313.0,673.0
290079,,,304.0,668.0
290168,,,252.0,706.0
290258,,,250.0,708.0
290349,,,668.0,783.0
290409,,,800.0,875.0
290468,,,819.0,893.0
290529,,,828.0,897.0
290588,,,832.0,900.0
290649,,,834.0,901.0
290708,,,834.0,902.0
290769,,,831.0,902.0
290859,,,826.0,898.0
290918,,,767.0,856.0
290979,,,685.0,864.0
291069,,,330.0,865.0
291128,,,133.0,665.0
291189,,,206.0,622.0
291249,,,224.0,646.0
291309,,,270.0,658.0
291412,,,256.0,659.0
291458,,,233.0,683.0
291519,,,218.0,695.0
291579,,,277.0,730.0
291639,,,576.0,708.0
291699,,,793.0,867.0
291758,,,810.0,883.0
291819,,,813.0,883.0
292353,,,220.0,877.0
292363,,,177.0,877.0
292389,,,147.0,721.0
292479,,,185.0,584.0
292539,,,301.0,674.0
292628,,,273.0,672.0
292719,,,215.0,654.0
292779,,,272.0,725.0
292838,,,231.0,705.0
292899,,,463.0,541.0
293001,,,804.0,884.0
293019,,,798.0,866.0
293079,,,825.0,892.0
293168,,,829.0,897.0
293229,,,827.0,899.0
293332,,,830.0,899.0
293349,,,825.0,896.0
293452,,,654.0,694.0
293469,,,784.0,867.0
293529,,,575.0,708.0
293619,,,379.0,860.0
293679,,,150.0,781.0
293739,,,113.0,603.0
293829,,,232.0,599.0
293889,,,285.0,657.0
293949,,,272.0,623.0
294039,,,237.0,639.0
294099,,,304.0,732.0
294159,,,280.0,688.0
294249,,,798.0,874.0
294309,,,818.0,890.0
294369,,,827.0,896.0
294429,,,832.0,898.0
294489,,,828.0,898.0
294549,,,813.0,889.0
294609,,,745.0,841.0
294668,,,724.0,871.0
294772,,,618.0,873.0
294789,,,627.0,897.0
294849,,,333.0,906.0
294939,,,189.0,744.0
295041,,,243.0,641.0
295059,,,236.0,642.0
295119,,,260.0,635.0
295179,,,258.0,595.0
295239,,,260.0,646.0
295744,,,836.0,899.0
295754,,,830.0,895.0
295779,,,829.0,899.0
295869,,,827.0,897.0
295929,,,826.0,897.0
295989,,,761.0,797.0
296049,,,618.0,895.0
296109,,,341.0,882.0
296199,,,156.0,686.0
296259,,,242.0,720.0
296319,,,291.0,667.0
296378,,,296.0,677.0
296469,,,230.0,712.0
296572,,,194.0,714.0
296619,,,161.0,534.0
296679,,,761.0,846.0
296739,,,808.0,883.0
296799,,,822.0,893.0
296889,,,830.0,896.0
296949,,,827.0,897.0
297009,,,827.0,897.0
297099,,,829.0,899.0
297159,,,819.0,893.0
297219,,,697.0,792.0
297279,,,562.0,834.0
297339,,,284.0,870.0
297429,,,105.0,538.0
297519,,,235.0,585.0
297579,,,278.0,671.0
297639,,,308.0,665.0
297699,,,241.0,688.0
297789,,,198.0,716.0
297849,,,239.0,707.0
297909,,,576.0,686.0
298012,,,811.0,885.0
298029,,,814.0,887.0
298119,,,831.0,899.0
298222,,,831.0,899.0
298239,,,834.0,900.0
298299,,,831.0,901.0
298359,,,831.0,902.0
298419,,,820.0,893.0
298479,,,703.0,838.0
298539,,,659.0,888.0
298599,,,390.0,881.0
298689,,,132.0,702.0
299404,,,681.0,762.0
299414,,,661.0,743.0
299469,,,618.0,696.0
299529,,,741.0,809.0
299589,,,822.0,892.0
299649,,,823.0,889.0
299709,,,822.0,891.0
299769,,,826.0,890.0
299829,,,825.0,894.0
299889,,,817.0,891.0
299949,,,744.0,864.0
300009,,,424.0,588.0
300069,,,465.0,586.0
300129,,,537.0,721.0
300219,,,456.0,690.0
300279,,,354.0,682.0
300339,,,221.0,602.0
300399,,,395.0,567.0
300459,,,794.0,873.0
300519,,,810.0,888.0
300579,,,821.0,894.0
300639,,,827.0,895.0
300699,,,826.0,896.0
300790,,,829.0,901.0
300849,,,822.0,893.0
300909,,,767.0,848.0
300968,,,810.0,898.0
301029,,,786.0,889.0
301089,,,762.0,893.0
301149,,,728.0,880.0
301209,,,222.0,871.0
301299,,,176.0,576.0
301359,,,345.0,662.0
301419,,,300.0,526.0
301479,,,278.0,526.0
301540,,,181.0,541.0
301599,,,217.0,629.0
301659,,,200.0,562.0
301719,,,504.0,594.0
301779,,,790.0,867.0
301839,,,813.0,888.0
301899,,,824.0,895.0
301959,,,825.0,896.0
302019,,,761.0,831.0
302080,,,810.0,893.0
302182,,,690.0,787.0
302644,,,196.0,595.0
302654,,,208.0,601.0
302679,,,249.0,591.0
302739,,,316.0,664.0
302799,,,251.0,671.0
302859,,,195.0,662.0
302919,,,248.0,717.0
303009,,,769.0,851.0
303069,,,811.0,886.0
303159,,,827.0,895.0
303219,,,828.0,897.0
303322,,,673.0,780.0
303339,,,737.0,815.0
303399,,,691.0,824.0
303459,,,600.0,823.0
303519,,,587.0,894.0
303580,,,591.0,895.0
303639,,,292.0,907.0
303699,,,72.0,565.0
303759,,,182.0,650.0
303849,,,222.0,562.0
303909,,,216.0,567.0
303969,,,256.0,653.0
304059,,,208.0,695.0
304120,,,186.0,688.0
304179,,,233.0,712.0
304239,,,692.0,787.0
304299,,,809.0,882.0
304359,,,825.0,895.0
304419,,,830.0,899.0
304479,,,830.0,899.0
304583,,,828.0,901.0
304599,,,829.0,900.0
304660,,,826.0,895.0
304719,,,776.0,829.0
304779,,,772.0,866.0
304839,,,674.0,889.0
304899,,,566.0,878.0
304959,,,158.0,666.0
305019,,,122.0,565.0
305109,,,164.0,577.0
305169,,,238.0,597.0
305229,,,260.0,667.0
305290,,,255.0,694.0
305392,,,244.0,709.0
305439,,,224.0,716.0
305944,,,836.0,902.0
305954,,,832.0,900.0
306040,,,829.0,898.0
306099,,,635.0,689.0
306189,,,596.0,894.0
306250,,,269.0,894.0
306339,,,139.0,586.0
306399,,,239.0,676.0
306459,,,218.0,608.0
306519,,,272.0,669.0
306580,,,224.0,612.0
306639,,,160.0,680.0
306700,,,222.0,734.0
306759,,,238.0,759.0
306819,,,193.0,416.0
306879,,,753.0,838.0
306939,,,805.0,880.0
307000,,,818.0,889.0
307059,,,826.0,893.0
307120,,,830.0,895.0
307179,,,833.0,898.0
307240,,,832.0,900.0
307299,,,832.0,899.0
307359,,,830.0,899.0
307419,,,811.0,891.0
307479,,,683.0,851.0
307540,,,420.0,634.0
307599,,,150.0,629.0
307660,,,112.0,578.0
307719,,,209.0,557.0
307780,,,257.0,629.0
307839,,,273.0,623.0
307899,,,248.0,650.0
307959,,,228.0,620.0
308019,,,215.0,647.0
308080,,,235.0,377.0
308139,,,778.0,858.0
308200,,,811.0,885.0
308259,,,817.0,888.0
308349,,,825.0,895.0
308410,,,828.0,898.0
308500,,,826.0,897.0
