side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase
L,,337646,0.329,1.235,-0.239,96.1,15.1,29.5,380,798,0
L,,337670,-0.249,0.545,-0.245,85.5,18.8,28.7,447,793,0
L,,337680,-0.313,0.351,-0.185,63.0,23.3,20.4,555,795,0
L,,337690,-0.163,0.203,-0.260,44.9,30.1,25.7,581,812,0
L,,337700,0.149,0.262,-0.692,27.3,-16.3,27.2,541,813,0
L,,337710,0.084,0.125,0.189,-8.9,-47.9,8.0,523,816,0
L,,337720,-0.068,-0.057,0.408,-63.0,-42.8,-15.8,511,812,0
L,,337730,-0.081,0.044,0.453,-89.1,-49.0,-34.0,534,804,0
L,,337740,-0.160,-0.005,0.426,-108.5,-43.1,-41.6,540,804,0
L,,337750,-0.122,0.037,0.289,-126.0,-31.5,-38.7,540,808,0
L,,337760,-0.065,0.015,0.153,-149.1,-25.9,-30.1,545,805,0
L,,337770,-0.069,0.080,0.007,-170.3,-14.4,-32.2,553,806,0
L,,337780,-0.013,0.090,-0.052,-191.8,-14.2,-37.1,562,808,0
L,,337790,0.083,0.128,-0.014,-208.8,-27.5,-39.5,562,812,0
L,,337800,0.165,0.156,0.168,-236.6,-46.0,-46.5,557,814,0
L,,337810,0.178,0.214,0.209,-255.0,-66.9,-49.9,565,813,0
L,,337820,0.206,0.296,0.239,-270.0,-90.3,-48.6,568,816,0
L,,337830,0.126,0.429,0.212,-291.9,-103.3,-50.1,571,817,0
L,,337840,0.038,0.522,0.129,-306.4,-113.2,-43.4,574,822,0
L,,337850,-0.131,0.620,0.119,-323.1,-116.6,-37.0,568,830,0
L,,337860,-0.232,0.732,0.257,-352.3,-102.7,-29.2,565,834,0
L,,337870,-0.173,0.937,0.454,-355.7,-67.6,-25.6,553,841,0
L,,337880,-0.330,1.341,0.335,-339.0,-21.0,-25.6,540,832,0
L,,337890,-0.326,1.448,0.115,-324.1,6.8,-16.1,526,850,0
L,,337900,-0.397,1.393,0.000,-343.7,28.2,-2.2,501,853,0
L,,337910,-0.345,1.583,0.091,-354.6,60.4,-5.3,494,855,0
L,,337920,-0.137,1.851,0.060,-355.7,95.2,-14.4,499,860,0
L,,337930,0.017,1.960,0.043,-353.8,118.6,-14.4,497,860,0
L,,337940,0.063,2.031,-0.023,-351.4,128.4,-20.1,491,861,0
L,,337950,0.215,2.222,-0.083,-349.0,126.0,-29.4,494,861,0
L,,337960,0.311,2.177,-0.137,-343.0,114.0,-45.5,503,860,0
L,,337970,0.366,2.188,-0.230,-328.7,103.5,-49.9,509,860,0
L,,337980,0.409,2.171,-0.370,-308.1,93.2,-46.5,511,862,0
L,,337990,0.457,2.260,-0.477,-277.9,70.3,-38.9,508,863,0
L,,338000,0.486,2.202,-0.672,-239.8,42.1,-37.5,517,866,0
L,,338010,0.364,2.049,-0.933,-192.8,39.4,-38.5,518,862,0
L,,338020,0.296,1.821,-1.053,-151.5,31.7,-44.8,525,863,0
L,,338030,0.304,1.670,-1.209,-101.0,36.9,-38.0,538,864,0
L,,338040,0.509,1.606,-1.347,-45.9,36.0,-21.5,540,861,0
L,,338050,0.593,1.524,-1.357,19.4,29.7,-6.6,540,863,0
L,,338060,0.607,1.482,-1.288,66.1,8.1,1.5,550,863,0
L,,338070,0.547,1.488,-1.132,105.4,-24.5,6.4,607,839,0
L,,338080,0.381,1.741,-0.797,143.8,-32.6,15.7,686,862,0
L,,338090,0.053,1.006,0.819,123.6,-60.3,6.0,739,858,0
L,,338100,-0.508,0.414,2.257,82.4,-61.6,-15.0,760,873,0
L,,338110,-0.074,1.055,1.635,54.1,-39.1,-15.8,767,877,0
L,,338120,0.565,1.468,0.378,113.1,-33.6,8.9,778,880,0
L,,338359,-0.070,0.941,0.083,34.5,-11.7,-6.7,807,911,0
L,,338369,-0.107,1.004,0.181,26.5,-6.3,-10.0,801,911,0
L,,338379,-0.115,0.975,0.142,28.7,-5.3,-7.9,804,912,0
L,,338389,-0.119,1.002,0.188,24.7,-0.7,-4.5,805,911,0
L,,338399,-0.157,0.974,0.220,22.1,10.5,-1.6,805,912,0
L,,338409,-0.177,0.991,0.149,23.5,18.9,-1.4,802,912,0
