0, 62285.085541 555. 472. 174. 181. 207. 638. 7. 541. 98. 796. 42. 703. 97.587422 1.;
1, 53.268333 555. 472. 200. 65. 207. 638. 7. 541. 98. 796. 42. 703. 97.587422 1.;
2, 83.268333 359. 290. 200. 65. 207. 638. 7. 541. 98. 796. 42. 703. 97.587422 1.;
3, 93.268333 359. 290. 195. 205. 207. 638. 7. 541. 98. 796. 42. 703. 97.587422 1.;
4, 148.268333 308. 307. 195. 205. 207. 638. 7. 541. 98. 796. 42. 703. 97.587422 1.;
5, 153.268333 308. 307. 226. 198. 207. 638. 7. 541. 98. 796. 42. 703. 97.587422 1.;
6, 208.268333 445. 401. 226. 198. 207. 638. 70. 541. 98. 796. 42. 703. 97.587422 1.;
7, 213.268333 445. 401. 220. 247. 221. 638. 70. 541. 98. 796. 42. 703. 97.587422 1.;
8, 268.268333 291. 292. 220. 247. 221. 638. 195. 541. 98. 796. 42. 703. 97.587422 1.;
9, 273.268333 291. 292. 270. 232. 221. 638. 195. 541. 98. 796. 42. 703. 97.587422 1.;
10, 339.664541 202. 208. 270. 232. 202. 638. 199. 541. 98. 796. 42. 703. 97.587422 1.;
11, 339.664541 202. 208. 279. 250. 202. 638. 199. 541. 98. 796. 42. 703. 97.587422 1.;
12, 384.664541 251. 262. 279. 250. 202. 638. 208. 541. 98. 796. 42. 703. 97.587422 1.;
13, 394.664541 251. 262. 322. 287. 202. 638. 208. 541. 98. 796. 42. 703. 97.587422 1.;
14, 444.664541 153. 160. 322. 287. 153. 638. 160. 541. 98. 796. 42. 703. 97.587422 1.;
15, 454.664541 153. 160. 628. 548. 153. 638. 160. 541. 98. 796. 42. 703. 97.587422 1.000286;
16, 504.664541 3. 3. 628. 548. 3. 638. 3. 541. 98. 796. 42. 703. 97.587422 1.000286;
17, 514.664541 3. 3. 768. 670. 3. 638. 3. 541. 98. 796. 42. 703. 97.587422 1.000286;
18, 564.664541 5. 0. 768. 670. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
19, 574.664541 5. 0. 780. 681. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
20, 654.664541 3. 3. 780. 681. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
21, 664.664541 3. 3. 783. 661. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
22, 714.664541 3. 3. 783. 661. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
23, 724.664541 3. 3. 785. 655. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
24, 774.664541 9. 17. 785. 655. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
25, 784.664541 9. 17. 781. 686. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
26, 834.664541 227. 219. 781. 686. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
27, 874.664541 227. 219. 767. 654. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
28, 894.664541 142. 127. 767. 654. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
29, 934.664541 142. 127. 692. 556. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
30, 954.664541 205. 193. 692. 556. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
31, 994.664541 205. 193. 490. 341. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
32, 1014.664541 296. 285. 490. 341. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
33, 1054.664541 296. 285. 420. 289. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
34, 1074.664541 341. 339. 420. 289. 3. 638. 0. 541. 98. 796. 42. 703. 97.587422 1.000286;
35, 1114.664541 341. 339. 387. 249. 3. 638. 0. 541. 98. 796. 65. 703. 97.587422 1.000286;
36, 1134.664541 339. 338. 387. 249. 3. 638. 0. 541. 145. 796. 65. 703. 97.587422 1.000286;
37, 1174.664541 339. 338. 368. 206. 3. 638. 0. 541. 145. 796. 65. 703. 97.587422 1.000286;
38, 1194.664541 338. 338. 368. 206. 3. 638. 0. 541. 174. 796. 65. 703. 97.587422 1.000286;
39, 1254.664541 295. 295. 368. 206. 3. 638. 0. 541. 174. 796. 65. 703. 97.587422 1.000286;
40, 1264.664541 295. 295. 359. 196. 3. 638. 0. 541. 195. 796. 65. 703. 97.587422 1.000286;
41, 1314.664541 275. 274. 359. 196. 3. 638. 0. 541. 195. 796. 65. 703. 97.587422 1.000286;
42, 1324.664541 275. 274. 290. 192. 3. 638. 0. 541. 195. 796. 65. 703. 97.587422 1.000286;
43, 1379.664541 374. 359. 290. 192. 3. 638. 0. 541. 195. 796. 192. 703. 97.587422 1.000286;
44, 1384.664541 374. 359. 102. 137. 3. 638. 0. 541. 102. 796. 137. 703. 97.587422 1.000286;
45, 1434.664541 573. 488. 102. 137. 3. 638. 0. 541. 102. 796. 137. 703. 97.587422 1.000899;
46, 1444.664541 573. 488. 81. 79. 3. 638. 0. 541. 81. 796. 79. 703. 97.587422 1.000899;
47, 1494.664541 650. 551. 81. 79. 3. 650. 0. 551. 81. 796. 79. 703. 97.587422 1.000899;
48, 1504.664541 650. 551. 75. 72. 3. 650. 0. 551. 75. 796. 72. 703. 97.587422 1.000899;
49, 1554.664541 503. 437. 75. 72. 3. 650. 0. 551. 75. 796. 72. 703. 97.587422 1.000899;
50, 1564.664541 503. 437. 96. 8. 3. 650. 0. 551. 75. 796. 8. 703. 97.587422 1.000899;
51, 1619.664541 516. 444. 96. 8. 3. 650. 0. 551. 75. 796. 8. 703. 97.587422 1.000899;
52, 1677.511541 516. 444. 89. 29. 3. 650. 0. 551. 75. 796. 8. 703. 97.587422 1.000899;
