side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase,L_toe,L_heel,R_toe,R_heel
R,condition_1,921881.0,-0.269,1.05,-0.231,-5.8,-5.3,-2.4,331,648,0,,,,
R,condition_1,921941.0,-0.089,1.205,-0.142,-10.7,-3.5,-4.8,174,510,0,,,,
R,condition_1,922001.0,-0.404,1.403,-0.452,-15.4,-6.5,-6.3,167,487,0,,,,
R,condition_1,922061.0,0.091,2.026,-1.079,-22.3,-10.0,-10.3,174,448,0,,,,
R,condition_1,922122.0,-0.76,1.02,-0.398,-25.5,-11.3,-14.0,151,387,0,,,,
R,condition_1,922181.0,-0.384,-0.101,-0.477,0.4,-14.1,2.7,232,400,0,,,,
R,condition_1,922242.0,0.282,0.039,-0.041,12.8,-2.0,8.9,270,398,0,,,,
R,condition_1,922301.0,0.121,0.309,-0.437,26.7,17.7,11.1,178,441,0,,,,
R,condition_1,922363.0,-0.034,1.382,-0.472,35.1,22.5,15.6,186,376,0,,,,
R,condition_1,922421.0,-0.793,2.129,-0.538,36.4,21.0,20.3,206,397,0,,,,
R,condition_1,922481.0,-1.572,2.204,0.757,25.4,10.7,8.5,214,428,0,,,,
R,condition_1,922541.0,-0.615,1.624,0.996,-15.8,0.2,-13.0,398,474,0,,,,
R,condition_1,922601.0,-0.787,1.14,-0.788,-12.1,-1.4,-12.9,570,695,0,,,,
R,condition_1,922691.0,-0.11,0.973,-0.16,-4.9,-3.6,-5.3,547,674,0,,,,
R,condition_1,922751.0,-0.168,0.971,-0.325,-3.1,-1.4,-3.7,567,693,0,,,,
R,condition_1,922841.0,-0.208,0.938,-0.291,-2.9,-4.3,-1.6,350,568,0,,,,
R,condition_1,922901.0,-0.233,0.967,-0.227,-3.3,-4.0,-2.1,418,612,0,,,,
R,condition_1,922961.0,-0.232,0.978,-0.214,-4.4,-4.3,-2.5,360,663,0,,,,
R,condition_1,923051.0,-0.162,1.145,-0.195,-7.9,-4.1,-3.4,177,556,0,,,,
R,condition_1,923111.0,-0.43,1.254,-0.395,-12.7,-3.3,-5.5,174,542,0,,,,
R,condition_1,923172.0,-0.172,1.729,-0.677,-18.4,-7.0,-7.0,183,574,0,,,,
R,condition_1,923231.0,-0.243,1.662,-0.691,-23.8,-6.4,-13.8,156,509,0,,,,
R,condition_1,923291.0,-0.724,0.343,-0.379,-15.8,-6.0,-7.0,201,427,0,,,,
R,condition_1,923351.0,0.306,-0.079,-0.55,5.8,-9.0,8.9,228,447,0,,,,
R,condition_1,923412.0,0.197,0.131,-0.188,17.4,11.3,10.9,303,426,0,,,,
R,condition_1,923471.0,-0.22,0.493,-0.628,28.6,23.3,15.2,277,457,0,,,,
R,condition_1,923532.0,-0.603,1.717,-0.66,34.4,23.3,18.4,221,416,0,,,,
R,condition_1,923591.0,-1.336,2.162,-0.548,37.8,18.1,15.5,239,454,0,,,,
R,condition_1,923651.0,-1.794,2.118,2.113,4.8,4.8,-2.1,167,445,0,,,,
R,condition_1,923711.0,2.596,0.99,-1.481,-13.0,20.4,-12.2,503,680,0,,,,
R,condition_1,923771.0,-0.577,1.319,0.081,-1.5,-11.0,-11.9,345,460,0,,,,
R,condition_1,923832.0,-0.166,0.839,-0.264,-8.1,-2.7,-5.1,524,676,0,,,,
R,condition_1,923893.0,-0.106,0.927,-0.289,-3.0,-1.7,-3.7,542,690,0,,,,
R,condition_1,923952.0,-0.353,0.912,-0.439,-3.1,-3.8,-1.6,524,677,0,,,,
R,condition_1,924011.0,-0.13,0.958,-0.244,-3.1,-3.5,-1.9,488,655,0,,,,
R,condition_1,924072.0,-0.169,0.975,-0.286,-3.7,-4.5,-1.9,407,731,0,,,,
R,condition_1,924131.0,-0.225,0.987,-0.223,-5.5,-3.6,-3.0,253,692,0,,,,
R,condition_1,924191.0,-0.161,1.143,-0.167,-8.2,-3.8,-3.5,229,658,0,,,,
R,condition_1,924250.0,-0.313,1.15,-0.373,-13.1,-1.8,-5.7,190,530,0,,,,
R,condition_1,924311.0,-0.125,1.904,-0.661,-19.3,-8.3,-6.4,185,525,0,,,,
R,condition_1,924372.0,-0.061,1.812,-0.776,-27.8,0.0,-14.2,149,429,0,,,,
R,condition_1,924431.0,-0.752,0.643,-0.223,-19.6,1.3,-9.1,82,437,0,,,,
R,condition_1,924492.0,0.183,-0.099,-0.713,3.1,-1.6,10.8,236,443,0,,,,
R,condition_1,924553.0,0.029,0.006,-0.344,14.2,14.9,16.8,282,414,0,,,,
R,condition_1,924641.0,-0.649,1.196,-0.663,29.5,19.9,20.4,218,452,0,,,,
R,condition_1,924702.0,-1.23,1.848,-0.454,38.5,17.5,15.6,201,418,0,,,,
R,condition_1,924761.0,-0.946,2.29,0.457,27.6,16.3,9.1,213,447,0,,,,
R,condition_1,924851.0,0.402,1.294,0.432,-17.8,14.5,-16.8,281,336,0,,,,
R,condition_1,924912.0,-0.462,1.009,-0.813,-3.3,-1.0,-12.2,371,504,0,,,,
R,condition_1,925001.0,-0.059,1.101,-0.079,-5.6,-4.9,-5.2,474,753,0,,,,
R,condition_1,925091.0,-0.329,0.924,-0.423,-2.8,-1.6,-2.8,496,650,0,,,,
R,condition_1,925151.0,-0.149,0.983,-0.288,-2.6,-3.4,-1.6,488,662,0,,,,
R,condition_1,925211.0,-0.209,0.968,-0.256,-2.6,-3.7,-1.4,350,738,0,,,,
R,condition_1,925313.0,-0.201,1.003,-0.248,-6.6,-3.1,-3.0,254,715,0,,,,
R,condition_1,925332.0,-0.22,1.073,-0.234,-7.1,-2.9,-3.1,261,734,0,,,,
R,condition_1,925393.0,-0.165,1.149,-0.208,-10.8,-1.8,-4.8,202,627,0,,,,
R,condition_1,925452.0,-0.41,1.32,-0.474,-15.0,-5.5,-5.3,176,523,0,,,,
R,condition_1,925511.0,0.443,1.992,-0.874,-23.6,-5.1,-8.8,186,504,0,,,,
R,condition_1,925572.0,-0.8,1.123,-0.406,-28.6,-2.6,-13.8,100,272,0,,,,
R,condition_1,925631.0,-0.373,0.019,-0.345,-4.8,-3.5,4.7,155,231,0,,,,
R,condition_1,925691.0,0.076,0.016,-0.226,7.4,3.3,12.5,221,338,0,,,,
R,condition_1,925751.0,-0.02,0.276,-0.568,22.0,19.7,16.8,136,382,0,,,,
R,condition_1,925841.0,-0.591,1.708,-0.637,35.4,22.7,19.7,155,453,0,,,,
R,condition_1,925901.0,-1.549,2.099,-0.614,35.8,25.7,13.3,194,435,0,,,,
R,condition_1,925992.0,-1.083,1.654,0.971,-14.7,2.9,-17.3,431,535,0,,,,
R,condition_1,926082.0,-0.414,1.157,0.184,-1.6,-6.3,-16.1,469,587,0,,,,
R,condition_1,926143.0,-0.016,1.048,-0.153,-4.0,-1.4,-5.4,526,643,0,,,,
R,condition_1,926231.0,-0.244,0.924,-0.356,-2.2,-1.6,-2.7,446,565,0,,,,
R,condition_1,926291.0,-0.104,0.958,-0.271,-2.6,-4.4,-1.5,480,620,0,,,,
R,condition_1,926351.0,-0.191,0.978,-0.228,-2.5,-3.6,-1.0,502,719,0,,,,
R,condition_1,926412.0,-0.094,1.033,-0.205,-3.8,-2.9,-1.9,298,694,0,,,,
R,condition_1,926471.0,-0.124,1.046,-0.186,-6.7,-2.8,-2.8,255,654,0,,,,
R,condition_1,926532.0,-0.073,1.182,-0.174,-9.9,-1.5,-4.1,204,611,0,,,,
R,condition_1,926591.0,-0.428,1.22,-0.409,-14.0,-3.0,-4.5,157,481,0,,,,
R,condition_1,926652.0,0.251,1.865,-0.678,-20.9,-3.9,-6.5,193,457,0,,,,
R,condition_1,926711.0,-0.785,1.569,-0.587,-29.3,-1.3,-11.9,145,381,0,,,,
R,condition_1,926801.0,0.256,0.004,-0.57,-3.3,1.7,5.4,105,284,0,,,,
R,condition_1,926862.0,0.071,0.029,-0.222,8.2,14.9,9.4,192,270,0,,,,
R,condition_1,926923.0,-0.183,0.263,-0.636,21.5,23.7,17.0,252,393,0,,,,
R,condition_1,926981.0,-0.315,1.175,-0.642,34.4,17.0,21.7,162,323,0,,,,
R,condition_1,927041.0,-0.757,2.29,-0.506,38.5,21.0,18.3,211,398,0,,,,
R,condition_1,927101.0,-2.327,2.154,0.93,19.3,11.8,7.6,178,337,0,,,,
R,condition_1,927162.0,0.234,1.215,0.473,-18.0,-4.6,-11.6,435,543,0,,,,
