side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase,L_toe,L_heel,R_toe,R_heel
R,condition_1_offset,982845.0,-1.042,2.019,0.097,29.5,14.3,12.4,195,447,0,,,,
R,condition_1_offset,982904.0,-1.218,1.771,1.212,-2.0,1.7,-7.4,231,482,0,,,,
R,condition_1_offset,982963.0,2.337,1.802,-1.557,-14.5,20.1,-8.9,358,697,0,,,,
R,condition_1_offset,983024.0,-0.814,1.098,0.065,-1.3,-6.6,-17.0,544,679,0,,,,
R,condition_1_offset,983083.0,-0.178,0.919,-0.089,-4.7,-5.1,-4.9,574,724,0,,,,
R,condition_1_offset,983143.0,-0.092,1.001,-0.284,-2.9,-1.0,-4.3,534,674,0,,,,
R,condition_1_offset,983204.0,-0.305,0.933,-0.366,-2.8,-4.3,-1.4,507,721,0,,,,
R,condition_1_offset,983263.0,-0.193,0.928,-0.246,-2.5,-2.5,-1.7,394,675,0,,,,
R,condition_1_offset,983324.0,-0.155,0.975,-0.261,-2.8,-4.3,-1.4,535,728,0,,,,
R,condition_1_offset,983414.0,-0.185,1.049,-0.231,-5.3,-4.5,-1.8,408,721,0,,,,
R,condition_1_offset,983503.0,-0.226,1.167,-0.229,-11.6,-2.2,-4.8,134,633,0,,,,
R,condition_1_offset,983564.0,-0.231,1.495,-0.444,-15.7,-5.5,-4.4,111,636,0,,,,
R,condition_1_offset,983625.0,0.284,1.667,-0.847,-23.0,-1.9,-10.4,104,507,0,,,,
R,condition_1_offset,983683.0,-0.791,1.064,-0.384,-24.7,-5.6,-10.6,188,436,0,,,,
R,condition_1_offset,983744.0,-0.385,0.158,-0.239,-5.7,-5.3,2.8,239,429,0,,,,
R,condition_1_offset,983803.0,0.148,0.089,-0.158,7.1,3.5,10.0,295,424,0,,,,
R,condition_1_offset,983864.0,0.004,0.279,-0.509,20.8,20.0,13.9,255,438,0,,,,
R,condition_1_offset,983923.0,-0.298,1.094,-0.544,31.6,22.2,17.7,243,471,0,,,,
R,condition_1_offset,983984.0,-0.804,2.001,-0.474,34.6,24.8,17.4,209,467,0,,,,
R,condition_1_offset,984074.0,-2.059,2.144,1.007,17.1,6.2,4.1,254,469,0,,,,
R,condition_1_offset,984133.0,-0.852,1.566,0.304,-12.3,9.9,-17.6,324,457,0,,,,
R,condition_1_offset,984194.0,-0.997,1.46,0.62,-15.5,7.8,-15.4,420,550,0,,,,
R,condition_1_offset,984253.0,-0.256,0.606,-0.889,-7.2,6.1,-8.8,476,608,0,,,,
R,condition_1_offset,984315.0,0.002,1.03,-0.138,-4.4,-3.6,-5.2,501,670,0,,,,
R,condition_1_offset,984374.0,-0.154,0.944,-0.25,-2.4,-0.5,-4.0,511,721,0,,,,
R,condition_1_offset,984433.0,-0.095,0.967,-0.239,-2.8,-4.1,-1.8,458,708,0,,,,
R,condition_1_offset,984494.0,-0.215,0.956,-0.225,-2.4,-3.6,-1.6,441,584,0,,,,
R,condition_1_offset,984553.0,-0.179,0.986,-0.235,-3.3,-3.5,-2.0,424,674,0,,,,
