side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase,L_toe,L_heel,R_toe,R_heel
R,calibration,257492.0,-0.693,2.692,3.952,-95.8,-76.6,-145.9,620,773,9,481.0,308.0,849.0,597.0
R,calibration,257502.0,1.022,1.05,-0.825,-242.9,200.3,-127.2,638,776,0,530.0,428.0,849.0,597.0
R,calibration,257512.0,1.731,1.63,-0.745,-223.5,90.5,-138.2,628,770,0,530.0,428.0,849.0,597.0
R,calibration,257522.0,0.506,1.773,-0.078,-220.0,113.8,-157.9,644,780,0,530.0,428.0,849.0,597.0
R,calibration,257532.0,0.044,2.007,0.535,-204.4,100.7,-203.4,660,784,0,530.0,428.0,851.0,415.0
R,calibration,257542.0,0.023,1.435,0.021,-153.7,62.6,-194.0,663,790,0,530.0,428.0,851.0,415.0
R,calibration,257552.0,-0.201,1.514,0.503,-115.4,65.8,-213.0,671,798,0,530.0,428.0,851.0,415.0
R,calibration,257562.0,-0.019,1.038,0.124,-64.4,67.4,-173.6,679,805,0,617.0,482.0,851.0,415.0
R,calibration,257572.0,0.142,1.116,0.372,-21.9,53.4,-147.2,695,808,0,617.0,482.0,851.0,415.0
R,calibration,257582.0,-0.346,0.901,0.482,11.9,64.1,-124.7,705,817,0,617.0,482.0,851.0,415.0
R,calibration,257592.0,-0.204,1.071,0.244,54.3,36.1,-91.2,712,823,0,617.0,482.0,833.0,403.0
R,calibration,257602.0,-0.477,0.687,0.436,49.9,30.5,-68.0,699,830,0,617.0,482.0,833.0,403.0
R,calibration,257612.0,-0.363,0.823,0.113,4.9,53.6,-68.6,712,834,0,617.0,482.0,833.0,403.0
R,calibration,257622.0,-0.377,0.845,0.069,-3.6,45.4,-61.3,710,838,0,617.0,483.0,833.0,403.0
R,calibration,257632.0,-0.223,0.982,0.019,-18.1,27.3,-59.9,719,839,0,617.0,483.0,833.0,403.0
R,calibration,257642.0,-0.18,0.997,0.088,-37.5,17.0,-56.7,732,841,0,617.0,483.0,833.0,403.0
R,calibration,257652.0,-0.215,0.903,-0.152,-23.0,4.2,-45.7,735,844,0,617.0,483.0,828.0,411.0
R,calibration,257662.0,-0.122,0.957,-0.089,-3.9,-12.8,-45.0,736,847,0,617.0,483.0,828.0,411.0
R,calibration,257672.0,-0.036,0.962,0.007,-2.9,-32.6,-46.2,732,850,0,617.0,483.0,828.0,411.0
R,calibration,257682.0,-0.001,0.972,-0.009,14.2,-50.1,-43.2,736,849,0,670.0,524.0,828.0,411.0
R,calibration,257692.0,0.02,1.035,0.127,50.4,-52.0,-33.0,739,850,0,670.0,524.0,828.0,411.0
R,calibration,257702.0,-0.029,1.063,0.23,34.5,-42.2,-30.7,737,853,0,670.0,524.0,828.0,411.0
R,calibration,257712.0,-0.004,0.978,0.173,12.1,-7.7,-30.0,738,853,0,670.0,524.0,785.0,383.0
R,calibration,257722.0,-0.086,0.956,0.165,8.6,-10.6,-30.4,734,857,0,670.0,524.0,785.0,383.0
R,calibration,257732.0,-0.154,0.88,-0.054,20.3,-31.2,-18.6,742,857,0,670.0,524.0,785.0,383.0
R,calibration,257742.0,-0.1,1.03,0.191,25.3,-29.6,-16.1,727,859,0,677.0,531.0,785.0,383.0
R,calibration,257752.0,-0.109,1.026,0.166,1.0,-16.2,-17.5,742,861,0,677.0,531.0,785.0,383.0
R,calibration,257762.0,-0.149,1.032,0.027,-7.4,-14.2,-17.7,739,862,0,677.0,531.0,785.0,383.0
R,calibration,257772.0,-0.133,1.048,0.075,-14.0,-10.9,-16.8,731,862,0,677.0,531.0,739.0,485.0
R,calibration,257782.0,-0.111,0.919,-0.063,-11.3,-24.5,-9.6,732,864,0,677.0,531.0,739.0,485.0
R,calibration,257792.0,-0.116,0.996,0.085,-8.0,-24.3,-10.2,731,863,0,677.0,531.0,739.0,485.0
R,calibration,257802.0,-0.149,1.024,0.069,-10.7,-25.0,-11.2,732,864,0,677.0,531.0,739.0,485.0
R,calibration,257812.0,-0.111,1.002,0.117,-10.7,-24.8,-10.5,728,864,0,684.0,538.0,739.0,485.0
R,calibration,257822.0,-0.081,0.983,0.056,-11.2,-27.5,-8.7,727,867,0,684.0,538.0,739.0,485.0
R,calibration,257832.0,-0.101,0.964,0.062,-7.8,-30.1,-6.9,729,865,0,684.0,538.0,739.0,485.0
R,calibration,257842.0,-0.086,1.022,0.05,-9.2,-38.5,-9.6,728,864,0,684.0,538.0,739.0,485.0
R,calibration,257852.0,-0.082,1.029,0.04,-9.8,-46.2,-8.1,721,866,0,684.0,538.0,739.0,485.0
