side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase,L_toe,L_heel,R_toe,R_heel
R,audio_only,5511622.0,0.26,0.961,-0.161,43.0,2.5,-59.5,730,838,0,,,,
R,audio_only,5511711.0,0.191,0.981,-0.101,6.0,-29.4,-35.8,740,858,0,,,,
R,audio_only,5511771.0,0.256,0.986,-0.002,-3.3,-21.8,-32.7,750,863,0,,,,
R,audio_only,5511832.0,0.264,0.985,-0.086,-10.4,-23.8,-38.8,731,866,0,,,,
R,audio_only,5511891.0,0.044,0.969,-0.252,-4.3,-34.3,-41.7,621,864,0,,,,
R,audio_only,5511981.0,0.191,0.998,-0.085,8.7,-34.4,-35.3,430,868,0,,,,
R,audio_only,5512041.0,0.161,0.999,-0.033,16.1,-32.0,-46.4,403,864,0,,,,
R,audio_only,5512101.0,0.262,1.089,-0.118,16.9,-28.4,-73.7,436,864,0,,,,
R,audio_only,5512169.0,0.103,1.262,0.15,33.0,-56.4,-98.9,291,865,0,,,,
R,audio_only,5512221.0,0.376,1.444,0.289,45.2,-89.4,-126.7,351,861,0,,,,
R,audio_only,5512281.0,0.399,1.538,-0.66,44.1,-133.0,-161.5,392,852,0,,,,
R,audio_only,5512341.0,0.194,1.292,-0.224,32.4,-221.9,-150.6,233,757,0,,,,
R,audio_only,5512401.0,0.752,0.885,-0.063,102.6,-294.2,-74.6,339,645,0,,,,
R,audio_only,5512461.0,0.597,0.436,1.059,71.6,-32.5,88.4,321,629,0,,,,
R,audio_only,5512521.0,0.255,0.679,0.533,31.0,66.9,214.8,406,631,0,,,,
R,audio_only,5512585.0,-0.052,1.058,0.071,-8.1,-35.8,263.9,404,649,0,,,,
R,audio_only,5512671.0,-0.13,1.689,0.224,-103.1,-139.2,262.9,444,703,0,,,,
R,audio_only,5512731.0,-0.751,1.574,0.528,-12.8,-103.9,195.7,419,716,0,,,,
R,audio_only,5512791.0,-1.002,1.118,0.129,5.6,40.4,56.8,474,731,0,,,,
R,audio_only,5512851.0,1.789,0.809,-0.163,84.9,-48.2,-75.4,577,738,0,,,,
R,audio_only,5512912.0,0.527,0.965,0.943,80.3,13.3,-58.0,704,818,0,,,,
R,audio_only,5512971.0,0.073,1.036,-0.416,17.9,14.5,-58.6,708,846,0,,,,
R,audio_only,5513061.0,0.261,0.987,-0.045,4.3,-12.9,-45.7,757,859,0,,,,
R,audio_only,5513122.0,0.364,0.977,-0.053,-3.7,-8.8,-49.4,592,871,0,,,,
R,audio_only,5513181.0,0.171,0.999,-0.13,12.0,-21.2,-39.1,720,866,0,,,,
R,audio_only,5513242.0,0.121,0.968,-0.094,22.3,-35.3,-24.9,679,859,0,,,,
R,audio_only,5513301.0,0.16,0.971,-0.119,11.2,-40.4,-26.8,616,857,0,,,,
R,audio_only,5513361.0,0.203,0.997,-0.069,-0.2,-17.2,-42.8,479,859,0,,,,
R,audio_only,5513452.0,0.2,1.162,-0.008,7.9,-6.2,-82.4,440,856,0,,,,
R,audio_only,5513511.0,0.144,1.182,0.008,10.5,-18.3,-104.0,376,854,0,,,,
R,audio_only,5513571.0,0.185,1.199,-0.019,26.3,-68.9,-125.0,302,851,0,,,,
R,audio_only,5513631.0,0.252,1.603,-0.387,34.0,-140.4,-162.6,285,847,0,,,,
R,audio_only,5513721.0,-0.21,0.686,-0.285,14.9,-163.3,-124.4,301,667,0,,,,
R,audio_only,5513782.0,0.803,0.323,0.736,96.8,-134.4,29.0,365,642,0,,,,
R,audio_only,5513841.0,0.069,0.56,0.386,47.9,15.1,157.4,300,656,0,,,,
R,audio_only,5513901.0,-0.069,0.837,0.31,-5.2,-28.2,243.0,396,645,0,,,,
R,audio_only,5513960.0,-0.102,1.387,0.242,-41.7,-115.4,238.0,411,705,0,,,,
R,audio_only,5514021.0,0.134,1.601,0.54,-23.1,-81.6,270.2,450,711,0,,,,
R,audio_only,5514082.0,-0.381,2.036,0.515,-20.7,-11.6,233.6,438,714,0,,,,
R,audio_only,5514141.0,-0.929,1.235,-0.159,-36.4,30.8,57.8,417,728,0,,,,
R,audio_only,5514202.0,0.341,1.599,-0.391,59.5,16.4,-142.8,416,685,0,,,,
R,audio_only,5514261.0,0.51,1.273,-0.046,-74.7,74.9,-74.6,653,783,0,,,,
R,audio_only,5514321.0,0.096,0.993,0.122,65.1,33.7,-58.3,703,818,0,,,,
R,audio_only,5514381.0,0.509,0.881,-0.165,11.9,-15.0,-75.4,708,841,0,,,,
R,audio_only,5514441.0,0.123,1.1,0.031,8.1,-4.3,-56.5,728,855,0,,,,
R,audio_only,5514532.0,0.122,0.987,0.07,3.2,-19.5,-33.1,674,863,0,,,,
R,audio_only,5514622.0,0.286,1.039,0.092,-64.7,8.5,-32.4,711,859,0,,,,
R,audio_only,5514681.0,0.215,1.017,-0.001,-0.1,-27.7,-27.9,653,857,0,,,,
