side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase,L_toe,L_heel,R_toe,R_heel
R,condition_1_onset,5671677.0,0.204,0.979,0.097,13.7,-14.7,-26.8,569,856,0,,,,
R,condition_1_onset,5671766.0,0.137,0.964,-0.023,10.1,-6.5,-18.5,621,849,0,,,,
R,condition_1_onset,5671827.0,0.122,1.023,0.098,9.2,-10.5,-21.2,520,853,0,,,,
R,condition_1_onset,5671887.0,0.067,1.056,0.114,9.8,-14.7,-19.9,531,849,0,,,,
R,condition_1_onset,5671947.0,0.16,1.084,0.105,6.6,-33.1,-31.7,451,851,0,,,,
R,condition_1_onset,5672007.0,0.172,1.028,0.11,10.5,-14.6,-61.3,475,848,0,,,,
R,condition_1_onset,5672097.0,0.126,1.36,0.049,8.4,-15.4,-98.8,344,834,0,,,,
R,condition_1_onset,5672157.0,0.425,1.408,0.039,-3.7,-51.4,-126.1,350,826,0,,,,
R,condition_1_onset,5672217.0,0.133,1.413,-0.189,-35.3,56.4,-192.0,331,801,0,,,,
R,condition_1_onset,5672277.0,-0.18,1.061,0.086,-67.0,55.3,-126.1,293,596,0,,,,
R,condition_1_onset,5672367.0,0.372,0.348,0.015,-12.7,58.8,58.5,376,586,0,,,,
R,condition_1_onset,5672427.0,0.173,0.607,-0.003,-57.8,80.5,171.0,391,595,0,,,,
R,condition_1_onset,5672487.0,-0.002,1.09,0.055,-78.4,56.9,238.7,403,625,0,,,,
R,condition_1_onset,5672547.0,0.135,1.414,-0.179,-70.1,128.1,267.3,423,658,0,,,,
R,condition_1_onset,5672607.0,0.09,1.91,-0.265,-42.5,160.6,294.4,374,674,0,,,,
R,condition_1_onset,5672697.0,-0.536,1.323,-0.381,7.7,68.5,132.9,406,668,0,,,,
R,condition_1_onset,5672757.0,-0.735,1.464,-0.446,-10.1,39.4,-89.6,442,617,0,,,,
R,condition_1_onset,5672817.0,0.062,1.315,0.814,-53.4,140.1,-111.0,454,766,0,,,,
R,condition_1_onset,5672907.0,-0.032,1.097,-0.057,39.8,39.2,-50.0,592,821,0,,,,
R,condition_1_onset,5672967.0,0.36,0.88,0.147,26.1,3.8,-46.2,593,836,0,,,,
R,condition_1_onset,5673027.0,-0.029,1.135,0.091,11.8,26.7,-43.1,717,847,0,,,,
R,condition_1_onset,5673117.0,0.121,0.947,0.062,9.8,7.7,-25.6,650,861,0,,,,
R,condition_1_onset,5673177.0,0.2,0.962,0.108,15.4,-4.4,-26.4,589,860,0,,,,
R,condition_1_onset,5673237.0,0.141,0.986,0.063,-0.4,15.6,-25.4,614,861,0,,,,
R,condition_1_onset,5673297.0,0.072,1.035,0.125,6.3,2.3,-19.1,560,856,0,,,,
R,condition_1_onset,5673357.0,0.144,1.022,0.108,0.9,-20.6,-25.2,581,850,0,,,,
R,condition_1_onset,5673416.0,0.157,1.07,0.1,7.4,-3.8,-52.6,549,846,0,,,,
R,condition_1_onset,5673507.0,0.159,1.292,0.142,2.3,-2.0,-85.1,442,836,0,,,,
R,condition_1_onset,5673567.0,0.405,1.389,0.069,-15.3,-28.2,-115.1,264,832,0,,,,
R,condition_1_onset,5673657.0,-0.035,1.397,0.088,-64.7,63.0,-193.5,294,759,0,,,,
R,condition_1_onset,5673747.0,0.56,0.639,0.067,-5.7,83.4,-22.7,350,564,0,,,,
R,condition_1_onset,5673807.0,0.275,0.503,-0.149,-42.2,142.8,109.0,411,601,0,,,,
R,condition_1_onset,5673867.0,0.201,0.744,-0.189,-115.3,99.6,204.3,331,629,0,,,,
R,condition_1_onset,5673927.0,-0.222,1.146,-0.82,-77.4,46.8,228.7,381,644,0,,,,
R,condition_1_onset,5674017.0,0.181,1.866,-0.267,-43.4,156.9,283.5,435,670,0,,,,
R,condition_1_onset,5674107.0,-0.895,1.712,-0.449,106.4,-70.2,162.6,298,687,0,,,,
R,condition_1_onset,5674167.0,-0.968,1.235,-0.469,75.5,14.3,7.1,468,670,0,,,,
R,condition_1_onset,5674227.0,1.14,0.422,1.458,135.0,-20.4,-77.3,540,680,0,,,,
R,condition_1_onset,5674287.0,-0.229,1.513,0.528,-13.8,104.0,-70.3,618,764,0,,,,
R,condition_1_onset,5674347.0,-0.068,1.185,-0.166,61.9,-1.8,-65.5,544,831,0,,,,
R,condition_1_onset,5674407.0,0.332,0.938,0.282,30.3,-7.8,-34.3,553,844,0,,,,
R,condition_1_onset,5674475.0,0.203,1.022,-0.036,18.8,4.4,-23.7,579,849,0,,,,
R,condition_1_onset,5674527.0,0.313,0.96,0.148,8.8,-3.0,-21.1,605,852,0,,,,
R,condition_1_onset,5674587.0,0.244,0.98,0.067,0.1,-4.4,-22.4,626,850,0,,,,
R,condition_1_onset,5674677.0,0.197,0.987,0.114,6.6,2.0,-23.1,696,855,0,,,,
R,condition_1_onset,5674737.0,0.123,1.028,0.122,-2.8,-8.1,-23.9,613,861,0,,,,
R,condition_1_onset,5674827.0,0.234,1.065,0.205,7.8,-6.5,-58.2,654,851,0,,,,
R,condition_1_onset,5674887.0,0.16,1.131,0.138,0.4,10.9,-78.8,513,843,0,,,,
R,condition_1_onset,5674947.0,0.159,1.349,0.136,-7.7,0.7,-94.9,427,835,0,,,,
R,condition_1_onset,5675007.0,0.354,1.304,0.172,-8.8,-24.7,-116.2,363,812,0,,,,
R,condition_1_onset,5675067.0,0.553,1.225,-0.094,-28.6,28.3,-176.9,233,800,0,,,,
R,condition_1_onset,5675127.0,0.255,1.261,0.102,-61.8,38.7,-155.9,293,665,0,,,,
R,condition_1_onset,5675187.0,0.155,0.914,0.229,-10.5,60.9,-47.1,344,564,0,,,,
R,condition_1_onset,5675247.0,0.292,0.476,-0.081,-30.4,139.5,95.0,388,605,0,,,,
R,condition_1_onset,5675307.0,0.226,0.665,-0.128,-64.4,94.6,189.9,401,595,0,,,,
R,condition_1_onset,5675367.0,0.209,1.067,-0.15,-118.1,96.7,244.0,417,601,0,,,,
R,condition_1_onset,5675427.0,0.415,1.723,-0.437,-85.1,142.3,295.4,432,628,0,,,,
R,condition_1_onset,5675517.0,-0.677,2.008,-1.104,63.9,-87.9,250.5,364,661,0,,,,
R,condition_1_onset,5675577.0,-0.039,1.525,0.121,-31.2,134.7,88.4,285,676,0,,,,
R,condition_1_onset,5675667.0,1.142,0.293,0.48,153.0,-105.9,-104.1,525,699,0,,,,
R,condition_1_onset,5675770.0,0.056,1.162,-1.005,-35.0,158.6,-73.2,506,828,0,,,,
R,condition_1_onset,5675787.0,-0.149,0.652,-0.591,-10.3,54.1,-70.6,389,842,0,,,,
R,condition_1_onset,5675847.0,0.345,0.908,0.217,38.2,36.1,-42.9,523,848,0,,,,
R,condition_1_onset,5675907.0,0.12,1.032,0.014,19.2,25.2,-32.0,659,849,0,,,,
R,condition_1_onset,5675967.0,0.088,1.047,0.196,15.4,15.5,-16.5,597,859,0,,,,
R,condition_1_onset,5676027.0,0.236,0.985,0.042,15.2,-5.4,-19.6,670,851,0,,,,
R,condition_1_onset,5676117.0,0.135,1.049,0.118,9.9,-3.0,-28.9,609,850,0,,,,
R,condition_1_onset,5676208.0,0.176,1.042,0.028,2.7,-18.3,-40.9,519,846,0,,,,
R,condition_1_onset,5676297.0,0.128,1.126,0.142,16.7,3.6,-84.9,500,834,0,,,,
R,condition_1_onset,5676357.0,0.163,1.375,0.018,6.3,-32.5,-98.0,430,831,0,,,,
R,condition_1_onset,5676417.0,0.692,1.36,-0.03,-7.7,-61.5,-141.5,328,831,0,,,,
R,condition_1_onset,5676477.0,0.0,1.358,0.057,-38.0,17.5,-191.0,335,788,0,,,,
R,condition_1_onset,5676537.0,-0.261,1.016,0.147,-110.2,99.0,-128.3,344,564,0,,,,
R,condition_1_onset,5676597.0,0.564,0.392,0.136,-18.7,67.2,15.8,386,596,0,,,,
R,condition_1_onset,5676687.0,0.087,0.627,-0.099,-66.6,80.2,175.6,299,623,0,,,,
R,condition_1_onset,5676748.0,0.093,1.101,-0.032,-67.2,23.1,235.0,392,631,0,,,,
R,condition_1_onset,5676837.0,0.265,1.736,-0.235,-10.9,130.6,292.9,292,704,0,,,,
R,condition_1_onset,5676897.0,-0.61,1.911,-0.635,18.9,41.3,259.2,358,673,0,,,,
R,condition_1_onset,5676987.0,-0.867,1.472,-0.479,-1.7,-13.5,-48.3,316,656,0,,,,
R,condition_1_onset,5677047.0,1.205,0.836,1.556,59.5,4.3,-85.1,569,710,0,,,,
R,condition_1_onset,5677107.0,0.336,0.984,0.205,67.8,2.6,-64.6,661,799,0,,,,
R,condition_1_onset,5677197.0,0.145,0.955,0.113,27.3,-21.5,-44.7,584,841,0,,,,
R,condition_1_onset,5677300.0,0.308,0.863,-0.07,-0.2,-0.4,-24.2,669,846,0,,,,
R,condition_1_onset,5677317.0,0.217,1.025,0.099,-0.7,17.1,-31.9,669,848,0,,,,
R,condition_1_onset,5677407.0,0.274,0.949,0.02,15.6,3.9,-24.5,651,854,0,,,,
R,condition_1_onset,5677466.0,0.098,1.018,0.1,8.4,-2.9,-20.1,595,859,0,,,,
R,condition_1_onset,5677527.0,0.179,1.006,0.044,7.9,-8.6,-21.0,621,858,0,,,,
R,condition_1_onset,5677595.0,0.275,1.043,0.031,5.6,-13.5,-47.6,629,853,0,,,,
R,condition_1_onset,5677647.0,0.134,1.101,0.101,10.8,-4.9,-74.2,396,854,0,,,,
R,condition_1_onset,5677708.0,0.115,1.246,0.046,2.1,-5.3,-91.3,456,840,0,,,,
R,condition_1_onset,5677767.0,0.235,1.219,0.164,6.5,-54.7,-103.8,393,832,0,,,,
R,condition_1_onset,5677827.0,0.622,1.314,-0.013,-15.1,-6.7,-158.9,340,823,0,,,,
R,condition_1_onset,5677930.0,0.011,1.032,-0.054,-49.3,48.7,-106.4,358,566,0,,,,
R,condition_1_onset,5677947.0,-0.346,0.814,-0.168,-62.3,53.3,-112.7,350,540,0,,,,
R,condition_1_onset,5678009.0,0.397,0.294,0.074,-12.8,59.4,54.5,370,589,0,,,,
R,condition_1_onset,5678067.0,0.186,0.529,-0.114,-55.2,81.1,167.5,389,595,0,,,,
R,condition_1_onset,5678127.0,0.243,1.0,0.152,-59.2,35.9,247.7,387,645,0,,,,
R,condition_1_onset,5678187.0,0.347,1.413,-0.104,-61.1,111.2,282.3,355,677,0,,,,
R,condition_1_onset,5678277.0,-0.474,2.287,-0.868,-18.0,160.9,258.7,399,663,0,,,,
R,condition_1_onset,5678337.0,-0.758,1.81,-0.207,-24.5,51.2,87.7,321,694,0,,,,
R,condition_1_onset,5678397.0,-0.949,1.435,-0.139,3.8,-89.6,-137.2,358,652,0,,,,
R,condition_1_onset,5678458.0,0.271,1.259,0.588,15.1,33.8,-80.2,537,771,0,,,,
R,condition_1_onset,5678517.0,-0.03,1.022,-0.192,23.5,83.8,-32.2,585,825,0,,,,
R,condition_1_onset,5678578.0,0.361,0.857,0.165,28.4,-35.7,-35.3,664,835,0,,,,
R,condition_1_onset,5678637.0,0.249,1.023,-0.011,38.5,-6.6,-14.7,610,846,0,,,,
R,condition_1_onset,5678697.0,0.411,0.962,0.015,12.6,-32.1,-24.0,719,845,0,,,,
R,condition_1_onset,5678788.0,0.267,0.985,0.033,8.3,-39.2,-19.1,722,850,0,,,,
R,condition_1_onset,5678847.0,0.235,1.015,-0.022,5.1,-25.5,-16.2,687,852,0,,,,
R,condition_1_onset,5678937.0,0.244,1.0,-0.018,-5.3,-14.7,-37.5,526,858,0,,,,
R,condition_1_onset,5678998.0,0.26,0.996,0.0,3.0,-10.3,-54.6,473,857,0,,,,
