side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase,L_toe,L_heel,R_toe,R_heel
R,,184152.0,-0.016,0.154,-0.087,5.6,2.0,18.5,527,709,0,880.0,488.0,771.0,644.0
R,,184162.0,-0.029,0.146,-0.097,7.1,-0.3,17.1,526,706,0,880.0,488.0,771.0,644.0
R,,184172.0,-0.05,0.126,-0.097,7.7,-6.1,15.8,530,708,0,880.0,488.0,771.0,644.0
R,,184182.0,-0.052,0.123,-0.074,16.8,-4.7,13.3,531,710,0,880.0,488.0,821.0,698.0
R,,184192.0,-0.054,0.117,-0.088,11.3,-6.1,14.7,536,713,0,880.0,488.0,821.0,698.0
R,,184202.0,-0.044,0.141,-0.07,7.0,-7.3,15.1,537,715,0,880.0,488.0,821.0,698.0
R,,184212.0,-0.028,0.162,-0.065,5.9,-9.8,11.4,537,718,0,852.0,306.0,821.0,698.0
R,,184222.0,-0.027,0.16,-0.055,5.9,-10.2,8.4,538,716,0,852.0,306.0,821.0,698.0
R,,184232.0,-0.024,0.15,-0.044,2.9,-10.2,6.2,540,719,0,852.0,306.0,821.0,698.0
R,,184242.0,-0.022,0.146,-0.052,0.1,-9.2,3.5,542,721,0,852.0,306.0,837.0,720.0
R,,184252.0,-0.022,0.142,-0.07,-1.5,-9.0,0.8,542,722,0,852.0,306.0,837.0,720.0
R,,184262.0,0.007,0.061,-0.119,-0.5,-10.6,0.2,528,710,0,852.0,306.0,837.0,720.0
R,,184272.0,0.116,0.011,-0.15,5.3,-12.3,3.8,544,711,0,684.0,421.0,837.0,720.0
R,,184282.0,0.172,-0.022,-0.112,4.2,-12.9,9.6,562,719,0,684.0,421.0,837.0,720.0
R,,184292.0,0.124,0.096,-0.045,-4.2,-9.4,8.7,579,727,0,684.0,421.0,837.0,720.0
R,,184302.0,0.051,0.153,-0.046,0.5,-6.7,1.2,589,736,0,684.0,421.0,837.0,720.0
R,,184312.0,0.105,0.133,-0.058,5.3,-7.2,-3.0,596,742,0,684.0,421.0,844.0,731.0
R,,184322.0,0.09,0.1,-0.087,2.0,-4.0,-5.0,598,740,0,684.0,421.0,844.0,731.0
R,,184332.0,0.035,0.074,-0.139,13.9,-6.1,-9.0,603,744,0,684.0,421.0,844.0,731.0
R,,184342.0,0.039,0.095,-0.127,19.8,-10.4,-13.1,612,754,0,705.0,459.0,844.0,731.0
R,,184352.0,0.036,0.1,-0.099,11.5,-11.1,-12.7,622,760,0,705.0,459.0,844.0,731.0
