side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase
L,,2126753,0.079,0.911,0.163,10.8,0.7,-2.8,254,333,0
L,,2126763,0.052,0.864,0.092,9.5,-0.2,-3.0,241,321,0
L,,2126773,-0.101,0.970,0.041,7.7,-1.1,-3.9,258,329,0
L,,2126783,0.015,0.935,0.032,5.2,-2.1,-4.4,266,327,0
L,,2126793,-0.077,0.950,0.170,3.3,-3.2,-4.7,270,341,0
L,,2126803,-0.063,0.912,0.200,3.3,-3.1,-3.6,272,332,0
L,,2126813,-0.157,0.932,0.162,3.0,-2.8,-3.5,267,345,0
L,,2126823,-0.257,0.949,0.167,3.0,-2.2,-3.2,261,354,0
L,,2126833,-0.245,0.972,0.214,3.4,-0.9,-2.5,266,356,0
L,,2126843,-0.264,0.992,0.257,3.9,-0.1,-2.0,266,358,0
L,,2126853,-0.273,1.007,0.257,4.4,0.9,-1.5,270,363,0
L,,2126863,-0.215,1.002,0.190,4.4,2.4,-1.3,269,365,0
L,,2126873,-0.118,0.977,0.139,3.8,2.6,-1.3,267,365,0
L,,2126883,-0.099,0.992,0.124,3.6,2.0,-1.5,272,368,0
L,,2126893,-0.137,0.999,0.129,3.4,1.0,-1.5,266,370,0
L,,2126903,-0.191,0.998,0.142,3.2,0.7,-1.4,265,359,0
L,,2126913,-0.225,0.976,0.132,3.2,0.8,-1.2,264,355,0
L,,2126923,-0.218,0.980,0.135,3.2,1.3,-1.0,262,358,0
L,,2126933,-0.224,0.997,0.158,3.4,1.8,-0.9,250,335,0
L,,2126943,-0.224,1.005,0.139,3.3,2.4,-0.9,262,329,0
L,,2126953,-0.208,0.977,0.109,3.3,2.6,-0.8,252,322,0
L,,2126963,-0.181,0.963,0.086,3.1,2.5,-0.8,243,307,0
L,,2126973,-0.170,0.962,0.079,2.9,2.3,-0.7,234,297,0
L,,2126983,-0.189,0.975,0.085,2.8,2.0,-0.6,180,230,0
L,,2126993,-0.191,1.001,0.088,2.8,1.9,-0.5,220,293,0
L,,2127003,-0.201,0.994,0.092,2.8,2.1,-0.6,231,306,0
L,,2127013,-0.204,0.975,0.100,2.8,2.2,-0.6,228,282,0
L,,2127023,-0.228,1.012,0.117,2.7,2.2,-0.7,228,285,0
L,,2127033,-0.192,1.008,0.095,3.0,2.2,-0.1,222,275,0
L,,2127043,-0.206,0.996,0.075,3.2,2.5,-0.7,209,259,0
L,,2127053,-0.210,0.990,0.084,3.0,2.4,-0.7,199,231,0
L,,2127063,-0.150,0.964,0.047,2.8,2.1,-0.5,213,258,0
L,,2127073,-0.147,0.999,0.043,2.8,1.6,-0.6,188,250,0
L,,2127083,-0.185,0.999,0.043,2.8,1.4,-0.8,171,264,0
L,,2127093,-0.199,1.005,0.041,2.8,1.5,-1.1,201,281,0
L,,2127103,-0.182,0.994,0.040,2.8,1.6,-1.3,190,258,0
L,,2127113,-0.171,0.983,0.049,3.0,1.7,-1.2,181,256,0
L,,2127123,-0.189,1.011,0.068,3.3,1.5,-1.5,133,170,0
L,,2127133,-0.181,1.006,0.074,3.6,1.6,-1.8,167,226,0
L,,2127143,-0.171,1.010,0.062,3.9,1.9,-2.0,165,229,0
L,,2127153,-0.187,1.034,0.064,4.4,2.0,-2.5,149,212,0
L,,2127163,-0.183,1.081,0.082,5.0,2.2,-2.6,107,153,0
L,,2127173,-0.173,1.084,0.105,5.7,2.3,-2.9,112,234,0
L,,2127183,-0.182,1.093,0.110,6.6,2.1,-3.2,108,201,0
L,,2127193,-0.188,1.080,0.114,7.4,2.1,-3.4,98,209,0
L,,2127203,-0.178,1.061,0.090,8.3,1.8,-3.6,132,243,0
L,,2127213,-0.212,1.079,0.088,9.3,1.5,-3.8,114,251,0
L,,2127223,-0.230,1.113,0.099,10.2,1.5,-3.9,99,218,0
L,,2127233,-0.266,1.163,0.087,11.0,1.5,-4.1,91,257,0
L,,2127243,-0.288,1.163,0.088,11.7,1.8,-4.2,51,267,0
L,,2127253,-0.310,1.228,0.077,12.6,2.4,-4.7,29,161,0
L,,2127263,-0.301,1.233,0.062,13.4,2.9,-5.1,32,164,0
L,,2127273,-0.277,1.246,0.022,14.0,3.2,-5.0,36,217,0
