side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase
L,,37609,0.146,0.984,0.094,0.1,0.0,0.2,478,615,0
L,,37619,0.138,0.983,0.088,0.1,-0.1,0.2,479,614,0
L,,37629,0.129,0.992,0.095,0.1,-0.3,0.3,481,619,0
L,,37639,0.119,0.993,0.081,0.2,-0.3,0.4,482,618,0
L,,37649,0.120,1.000,0.056,0.2,-0.1,0.5,480,616,0
L,,37659,0.151,0.996,0.078,0.2,0.0,0.6,479,615,0
L,,37669,0.160,0.995,0.064,0.2,0.0,0.6,477,614,0
L,,37679,0.167,0.996,0.079,0.1,0.0,0.5,462,599,0
L,,37689,0.144,0.992,0.081,0.1,0.0,0.5,477,614,0
L,,37699,0.137,1.001,0.064,0.1,0.0,0.5,476,613,0
L,,37709,0.149,0.982,0.086,0.0,-0.1,0.6,477,611,0
L,,37719,0.138,0.984,0.066,0.0,-0.1,0.6,472,609,0
L,,37729,0.146,0.990,0.075,0.1,2.2,0.6,472,606,0
L,,37739,0.155,0.994,0.083,0.0,0.0,0.7,465,599,0
L,,37749,0.156,0.994,0.098,0.0,0.0,0.7,472,604,0
L,,37759,0.151,0.996,0.085,0.0,-0.1,0.6,471,605,0
L,,37769,0.152,0.995,0.064,0.0,-0.3,0.6,478,612,0
L,,37779,0.164,0.988,0.081,0.0,-0.2,0.7,476,612,0
L,,37789,0.167,0.995,0.077,0.0,-0.1,0.6,475,609,0
L,,37799,0.172,0.988,0.078,0.0,-0.1,0.6,479,614,0
L,,37809,0.159,0.987,0.093,0.0,-0.3,0.6,476,611,0
L,,37819,0.151,0.984,0.089,0.0,-0.4,0.6,476,611,0
L,,37829,0.152,0.988,0.070,0.0,-0.4,0.6,477,612,0
L,,37839,0.165,0.989,0.070,0.0,-0.2,0.6,478,615,0
L,,37849,0.171,0.989,0.077,0.0,0.0,0.6,480,618,0
L,,37859,0.172,0.995,0.081,0.0,0.1,0.6,479,616,0
L,,37869,0.179,0.986,0.083,0.0,0.1,0.5,485,624,0
L,,37879,0.172,0.994,0.077,0.0,0.0,0.4,484,622,0
L,,37889,0.164,0.989,0.071,0.0,0.0,0.4,476,617,0
L,,37899,0.173,0.985,0.081,0.0,0.0,0.4,484,624,0
L,,37909,0.162,0.986,0.082,0.0,0.0,0.4,485,624,0
L,,37919,0.157,0.988,0.070,0.0,0.0,0.4,486,628,0
L,,37929,0.151,0.988,0.092,0.0,-0.2,0.4,486,627,0
L,,37939,0.159,0.997,0.093,0.0,-0.3,0.5,487,628,0
L,,37949,0.175,0.996,0.088,0.0,-0.5,0.5,488,627,0
L,,37959,0.176,0.993,0.100,0.0,-0.5,0.4,486,626,0
L,,37969,0.185,0.991,0.107,0.0,-0.6,0.3,485,628,0
L,,37979,0.185,0.986,0.100,0.0,-0.6,0.1,492,633,0
L,,37989,0.167,0.992,0.097,0.1,-0.6,0.1,486,628,0
L,,37999,0.163,0.986,0.093,0.1,-0.8,0.1,486,625,0
L,,38009,0.150,0.986,0.087,0.1,-0.8,0.1,493,631,0
L,,38019,0.167,0.981,0.075,0.3,-0.7,0.1,488,629,0
L,,38029,0.169,0.991,0.087,0.2,-0.7,0.1,488,631,0
L,,38039,0.193,0.986,0.091,0.2,-0.7,0.0,488,631,0
L,,38049,0.181,0.992,0.092,0.2,-0.8,0.0,491,633,0
L,,38059,0.185,0.988,0.091,0.1,-1.0,-0.1,493,635,0
L,,38069,0.162,0.988,0.087,0.1,-1.1,-0.1,485,627,0
L,,38079,0.156,0.994,0.083,0.2,-1.0,-0.1,495,639,0
L,,38089,0.161,0.992,0.089,0.3,-0.8,0.0,493,639,0
L,,38099,0.169,0.990,0.088,0.3,-0.7,-0.1,482,639,0
L,,38109,0.167,0.983,0.080,0.4,-0.5,-0.1,496,643,0
L,,38119,0.166,0.987,0.074,0.4,-0.4,-0.1,499,642,0
L,,38129,0.168,0.990,0.075,0.4,-0.4,-0.1,499,643,0
L,,38139,0.181,0.989,0.081,0.3,-0.3,-0.2,499,643,0
L,,38149,0.177,0.984,0.097,0.4,-0.1,-0.2,500,647,0
L,,38159,0.154,0.993,0.077,0.4,0.0,-0.2,500,646,0
L,,38169,0.133,0.996,0.065,0.2,-0.2,-0.1,499,647,0
L,,38179,0.153,0.978,0.078,0.2,-0.2,-0.1,501,647,0
L,,38189,0.162,1.003,0.090,0.2,-0.2,0.0,506,653,0
L,,38199,0.190,0.993,0.092,0.2,-0.2,-0.1,503,649,0
L,,38209,0.156,0.996,0.101,0.2,-0.3,-0.1,503,650,0
L,,38219,0.153,0.981,0.077,0.2,-0.3,-0.1,508,656,0
L,,38229,0.129,0.990,0.045,0.2,-0.5,0.0,503,650,0
L,,38239,0.143,0.991,0.070,0.1,-0.5,0.0,503,651,0
L,,38249,0.144,0.992,0.068,0.1,-0.4,0.1,503,652,0
L,,38259,0.166,0.995,0.070,0.2,-0.3,0.1,505,651,0
L,,38269,0.171,0.989,0.093,0.1,-0.3,0.1,503,652,0
L,,38279,0.170,0.988,0.100,0.1,-0.3,0.0,493,642,0
L,,38289,0.150,0.987,0.078,0.1,-0.4,0.0,505,652,0
L,,38299,0.149,0.992,0.065,0.1,-0.5,0.1,505,652,0
L,,38309,0.148,0.992,0.074,0.0,-0.5,0.2,509,658,0
L,,38319,0.146,0.998,0.071,0.1,-0.5,0.2,504,653,0
L,,38329,0.147,0.994,0.070,0.1,-0.5,0.3,507,655,0
L,,38339,0.166,0.984,0.094,0.0,-0.7,0.3,511,659,0
L,,38349,0.158,0.987,0.076,0.0,-0.8,0.3,506,657,0
L,,38359,0.152,0.985,0.059,0.0,-0.9,0.2,507,657,0
L,,38369,0.150,0.986,0.052,0.0,-1.0,0.3,508,658,0
L,,38379,0.159,0.982,0.058,0.0,-0.8,0.3,509,661,0
L,,38389,0.159,0.995,0.063,0.0,-0.6,0.2,511,661,0
L,,38399,0.162,0.997,0.068,0.0,-0.5,0.2,506,655,0
L,,38409,0.172,0.988,0.078,0.0,-0.4,0.2,510,660,0
L,,38419,0.164,0.989,0.089,0.0,-0.5,0.1,512,660,0
L,,38429,0.163,0.985,0.088,0.0,-0.6,0.1,510,662,0
L,,38439,0.153,0.986,0.068,0.0,-0.6,0.0,511,661,0
L,,38449,0.142,0.990,0.070,0.0,-0.6,0.1,513,662,0
