side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase,L_toe,L_heel,R_toe,R_heel
R,,4903817.0,0.235,0.823,0.038,0.6,-0.9,0.9,679,806,0,,,,
R,,4903827.0,0.345,0.893,0.107,0.3,-1.2,0.1,680,807,0,,,,
R,,4903837.0,0.039,0.833,0.08,1.5,-2.7,-0.1,679,805,0,,,,
R,,4903847.0,0.518,1.072,0.148,1.2,-4.9,0.8,681,807,0,,,,
R,,4903857.0,0.582,0.875,0.098,0.3,-1.9,0.0,660,807,0,,,,
R,,4903867.0,0.275,0.965,0.078,1.0,-1.5,0.5,668,807,0,,,,
R,,4903877.0,0.254,0.971,0.027,1.0,-1.0,-0.1,660,810,0,,,,
R,,4903887.0,0.319,0.961,0.055,0.5,-1.0,0.0,666,808,0,,,,
R,,4903897.0,0.387,0.948,0.063,0.1,0.0,0.0,667,807,0,,,,
R,,4903907.0,0.335,0.99,0.072,0.0,0.0,0.0,667,806,0,,,,
R,,4903917.0,0.367,0.95,0.088,0.0,0.9,-0.1,673,807,0,,,,
R,,4903927.0,0.24,0.939,0.08,0.1,0.7,0.0,674,805,0,,,,
R,,4903937.0,0.181,0.903,0.074,0.6,0.0,-0.4,667,806,0,,,,
R,,4903947.0,0.364,0.946,0.112,0.2,-0.5,-0.1,668,807,0,,,,
R,,4903957.0,0.323,0.938,0.074,0.4,-0.1,-0.4,668,804,0,,,,
R,,4903967.0,0.349,0.986,0.078,0.1,-0.6,-0.1,667,803,0,,,,
R,,4903977.0,0.333,0.955,0.067,0.2,-0.3,0.0,665,804,0,,,,
R,,4903987.0,0.353,0.97,0.082,0.1,-0.4,-0.2,666,806,0,,,,
R,,4903997.0,0.342,0.955,0.083,0.1,-0.5,-0.2,665,804,0,,,,
R,,4904007.0,0.311,0.943,0.077,0.1,-0.7,-0.2,669,804,0,,,,
R,,4904017.0,0.185,0.919,0.044,0.2,-1.8,0.2,670,805,0,,,,
R,,4904027.0,0.43,0.979,0.108,0.0,-2.3,0.0,670,806,0,,,,
R,,4904037.0,0.345,0.932,0.09,0.1,-1.7,-0.1,670,806,0,,,,
R,,4904047.0,0.336,0.97,0.089,0.2,-1.6,-0.2,677,804,0,,,,
R,,4904057.0,0.348,0.941,0.075,0.0,-1.5,0.0,670,805,0,,,,
R,,4904067.0,0.373,0.942,0.086,0.2,-0.9,-0.1,680,806,0,,,,
R,,4904077.0,0.382,0.944,0.106,0.2,-0.1,-0.4,681,806,0,,,,
R,,4904087.0,0.375,0.957,0.101,0.2,1.0,-0.7,682,807,0,,,,
R,,4904097.0,0.28,0.938,0.062,0.3,1.6,-0.8,666,808,0,,,,
R,,4904107.0,0.241,0.947,0.069,0.5,1.2,-0.7,636,808,0,,,,
R,,4904117.0,0.284,0.954,0.079,0.4,0.5,-0.8,672,807,0,,,,
R,,4904127.0,0.327,0.946,0.091,0.3,0.0,-0.6,674,806,0,,,,
R,,4904137.0,0.303,0.962,0.081,0.5,0.0,-0.4,621,810,0,,,,
R,,4904147.0,0.309,0.972,0.077,0.6,0.0,-0.4,554,816,0,,,,
