pid,direction,order,category,cat_color,correct_early,correct_mid,plateau_drop,opp_late,influence_score
03,decreasing,tempo first,No clear effect,#bdc3c7,0.11520863225324304,0.12499417829043918,-0.009785546037196141,,0.08332945219362613
05,increasing,weight first,No clear effect,#bdc3c7,-0.007018389957073198,0.08029525405083549,-0.08731364400790868,,0.05353016936722366
07,increasing,weight first,Consistent influence,#2ecc71,0.3112747940671762,0.3605734535691597,-0.04929865950198353,,0.2403823023794398
09,increasing,tempo first,No clear effect,#bdc3c7,0.08676310503542974,-0.003955354814255432,0.09071845984968517,,0.057842070023619824
10,decreasing,tempo first,No clear effect,#bdc3c7,-0.16248939172790283,-0.14994609995383812,-0.012543291774064713,,0.0
11,decreasing,weight first,Subconscious correction,#3498db,-0.2166643710576019,0.18604875340815813,-0.40271312446576,-0.5508456129388378,0.12403250227210542
13,decreasing,tempo first,No clear effect,#bdc3c7,-0.09244336872293658,0.061160379234495,-0.1536037479574316,,0.04077358615633
16,decreasing,weight first,No clear effect,#bdc3c7,-0.03736607597615491,-0.02521339534365713,-0.012152680632497782,,0.0
18,decreasing,tempo first,No clear effect,#bdc3c7,-0.047236536705644386,-0.040306387138374464,-0.006930149567269922,,0.0
19,increasing,weight first,No clear effect,#bdc3c7,-0.1431411749373593,-0.06677465587153442,-0.0763665190658249,,0.0
31,decreasing,weight first,No clear effect,#bdc3c7,-0.01864032185635097,-0.002671665874840811,-0.01596865598151016,0.13859266725736621,0.0
32,increasing,weight first,Consistent influence,#2ecc71,0.24513117412469798,0.4785062575127513,-0.2333750833880533,,0.31900417167516754
33,increasing,weight first,No clear effect,#bdc3c7,0.28370547222059284,0.15635638244576308,0.12734908977482975,,0.18913698148039523
34,decreasing,weight first,Consistent influence,#2ecc71,0.2536798709752257,0.40996093629107977,-0.15628106531585406,-1.655411881985499,0.27330729086071986
35,decreasing,tempo first,No clear effect,#bdc3c7,0.03633288390937042,-0.00619125376034118,0.0425241376697116,,0.02422192260624695
36,decreasing,tempo first,Consistent influence,#2ecc71,0.1009232249855736,0.3854949983319925,-0.2845717733464189,,0.25699666555466166
37,increasing,weight first,No clear effect,#bdc3c7,0.052486939847026,0.004219460979437845,0.04826747886758816,0.31206265851197623,0.03499129323135067
38,decreasing,tempo first,No clear effect,#bdc3c7,0.04797055406074957,-0.07162017706854186,0.11959073112929143,,0.03198036937383305
39,decreasing,weight first,No clear effect,#bdc3c7,-0.18077598537007117,-0.0070331546417638224,-0.17374283072830735,,0.0
40,increasing,weight first,No clear effect,#bdc3c7,-0.09849791492909632,-0.08914958987925752,-0.009348325049838804,-0.26800595457451803,0.0
